,DISTANCE,CASES,WEIGHT,VOLUME,ORIGIN ZIP,DEST ZIP,ACTUAL MODE,ACTUAL EQUIP,PU_APPT,DL_APPT
2270542,1072.2,1,3.5,0.1,53158,3060,CORP.PARCEL,CORP.53DV,5/6/2022 7:05,5/11/2022 12:05
4000170,1969.8,0,3293.8,358.67,78264,12110-4810,MTNORAM.LTL,MTNORAM.53DV,1/11/2022 0:01,1/26/2022 14:01
1326567,978.0,1,86.0,13.97,90810,97068,CORP.LTL,CORP.53DV,12/14/2021 20:12,12/21/2021 16:12
4930083,1484.4,1,1.65,0.08,17345,77039,MTNORAM.PARCEL,MTNORAM.53DV,4/11/2022 20:04,4/12/2022 20:04
2510457,969.5,1,2.32,1079.37,38637,27920-8001,CORP.PARCEL,CORP.53DV,4/29/2022 22:04,5/4/2022 19:05
153844,1036.5,9,62.1,1.8,53158,80238,CORP.PARCEL,CORP.53DV,8/29/2022 13:08,8/30/2022 2:08
1378236,1032.01,1,6.83,700.0,38637,14626-5104,CORP.PARCEL,CORP.53DV,12/9/2021 23:12,12/14/2021 20:12
4117087,1063.3,6960,1740.0,49.93,8512,38654,MTNORAM.LTL,MTNORAM.53DV,11/29/2021 22:11,11/30/2021 21:11
4875000,1004.9,2,1.67,0.08,17345,33558,MTNORAM.PARCEL,MTNORAM.53DV,4/11/2022 20:04,4/12/2022 18:04
4463927,1680.8,9,74.3,2.11,17345,78251,MTNORAM.PARCEL,MTNORAM.53DV,4/13/2022 1:04,4/19/2022 4:04
423605,811.88,2,4.51,536.69,38637,32827-4403,CORP.PARCEL,CORP.53DV,9/21/2022 22:09,9/23/2022 19:09
3004940,1481.3,2,1.67,0.08,17345,77591,MTNORAM.PARCEL,MTNORAM.53DV,7/11/2022 17:07,7/12/2022 20:07
2027780,5.0,74,8643.0,2645.91,85043,85043,CORP.TL,CORP.53DV,11/24/2021 20:00,11/30/2021 20:00
4777000,365.4,1,1.67,0.08,37921,27609,MTNORAM.PARCEL,MTNORAM.53DV,4/11/2022 21:04,4/12/2022 18:04
3862012,456.7,2,3.58,0.21,17345,45036,MTNORAM.PARCEL,MTNORAM.53DV,3/14/2022 20:03,3/15/2022 18:03
550032,2189.4,206,16496.0,2286.0,92154,30518,CORP.INTERMODAL,CORP.53IM_SONY,9/14/2022 17:09,9/26/2022 12:09
4355867,482.5,72,7.3,0.54,8512,27407,MTNORAM.PARCEL,MTNORAM.53DV,4/15/2022 23:04,4/19/2022 16:04
416257,459.47,1,2.32,1079.37,38637,64108-1229,CORP.PARCEL,CORP.53DV,8/30/2022 22:08,9/1/2022 20:09
3267921,478.5,1,0.17,0.01,37921,61820,MTNORAM.PARCEL,MTNORAM.53DV,8/8/2022 22:08,8/9/2022 20:08
1664758,964.2,4,14.0,0.28,38134,14624,CORP.PARCEL,CORP.53DV,10/2/2021 1:10,10/5/2021 20:10
3659318,759.6,750,21160.32,7.5,60490,13669,MTNORAM.TL,MTNORAM.53DV,2/21/2022 0:00,2/23/2022 0:00
3018547,190.6,1,0.13,0.01,17345,15601-3787,MTNORAM.PARCEL,MTNORAM.53DV,7/11/2022 21:07,7/12/2022 17:07
3401567,980.8,2263,40249.52,22.63,60544,80019,MTNORAM.INTERMODAL,MTNORAM.53DV,8/22/2022 3:00,8/31/2022 9:30
2020029,129.0,277,17393.0,2392.0,92154,90059,CORP.TL,CORP.53DV,10/23/2021 7:10,10/27/2021 17:10
4662304,293.0,96,16.8,0.93,8512,23059,MTNORAM.PARCEL,MTNORAM.53DV,6/6/2022 22:06,6/7/2022 18:06
1801042,12.7,193,486.81,27.2,90810,90250,CORP.LTL,CORP.53DV,11/6/2021 0:11,11/12/2021 16:11
12481,762.8,2,0.01,0.01,38134,29576,CORP.PARCEL,CORP.53DV,8/1/2022 18:08,8/3/2022 21:08
4049479,4935.19,428,91.26,4.95,8512,96819,MTNORAM.PARCEL,MTNORAM.53DV,11/30/2021 20:11,12/2/2021 6:12
583426,2611.7,28,224.06,12964.57,30213,97217,CORP.LTL,CORP.53DV,9/14/2022 13:09,9/21/2022 20:09
612902,6.7,1,174.0,51.0,32824,32809,CORP.TL,CORP.53DV,9/14/2022 22:09,9/13/2022 0:00
424142,1084.18,2,13.66,1400.0,38637,13152-1337,CORP.PARCEL,CORP.53DV,7/7/2022 22:07,7/12/2022 19:07
1993114,532.3,1,0.12,1.43,17050,5468,CORP.PARCEL,CORP.53DV,11/4/2021 20:11,11/9/2021 13:11
79952,748.0,2,0.54,0.0,38134,48067,CORP.PARCEL,CORP.53DV,9/13/2022 22:09,9/14/2022 21:09
706579,296.4,1,0.2,0.0,38134,63131,CORP.PARCEL,CORP.53DV,2/24/2022 23:02,2/25/2022 22:02
1878610,266.2,11754,133.0,26.83,75261,77489,CORP.TL,CORP.53BK,11/16/2021 2:11,11/16/2021 7:11
1844330,26.1,26,2709.0,585.5,91748,91730,CORP.TL,CORP.53DV,10/12/2021 20:00,10/12/2021 20:00
320842,3038.6,848,2148.56,149.88,90810,3077,CORP.LTL,CORP.53DV,6/28/2022 13:06,7/7/2022 14:07
1664690,709.5,1,0.25,0.0,38134,34461,CORP.PARCEL,CORP.53DV,11/8/2021 22:11,11/9/2021 21:11
904693,245.0,164,27828.0,2425.49,75062,77076,CORP.TL,TPX.53XX,2/9/2022 20:00,2/9/2022 20:00
3123970,180.8,2,1.66,0.07,17345,7094,MTNORAM.PARCEL,MTNORAM.53DV,7/21/2022 18:07,7/25/2022 16:07
3106967,241.6,3,3.31,0.15,17345,12601,MTNORAM.PARCEL,MTNORAM.53DV,7/20/2022 17:07,7/21/2022 18:07
