,DISTANCE,CASES,WEIGHT,VOLUME,ORIGIN ZIP,DEST ZIP,ACTUAL MODE,ACTUAL EQUIP,PU_APPT,DL_APPT
1617737,518.8,45,2.25,0.19,38134,45420,CORP.PARCEL,CORP.53DV,10/17/2021 15:10,10/20/2021 23:10
2319657,202.1,29,3516.6,821.59,46168,40511,CORP.TL,CORP.53DV,4/14/2022 20:00,4/15/2022 20:00
3083281,483.5,1,1.11,0.05,37921,44333-2486,MTNORAM.PARCEL,MTNORAM.53DV,7/18/2022 21:07,7/19/2022 17:07
1009312,431.32,1,2.26,277.31,38637,40503-1742,CORP.PARCEL,CORP.53DV,2/1/2022 23:02,2/3/2022 20:02
1703848,361.0,1,0.4,0.02,53158,41017,CORP.PARCEL,CORP.53DV,10/4/2021 22:10,10/6/2021 18:10
2284204,1765.6,1,12.85,0.41,53158,85712,CORP.PARCEL,CORP.53DV,3/25/2022 23:03,3/28/2022 22:03
204668,1067.4,1,16.6,0.54,53158,2322,CORP.PARCEL,CORP.53DV,9/8/2022 20:09,9/12/2022 20:09
4643551,2057.1,2,1.67,0.08,17345,79912,MTNORAM.PARCEL,MTNORAM.53DV,4/27/2022 18:04,4/28/2022 21:04
3049922,850.4,1,0.28,0.01,37921,33065,MTNORAM.PARCEL,MTNORAM.53DV,7/13/2022 21:07,7/14/2022 12:07
3689295,115.7,9,2.59,0.26,37921,37415-3409,MTNORAM.PARCEL,MTNORAM.53DV,2/17/2022 22:02,2/18/2022 20:02
552241,1405.6,217,15371.0,2049.0,92154,V3C 1S2,CORP.TL,CORP.53DV,9/8/2022 7:09,9/12/2022 15:09
4446725,260.0,1,0.81,0.08,17345,12401,MTNORAM.PARCEL,MTNORAM.53DV,6/14/2022 1:06,6/14/2022 17:06
1173976,466.3,0,2.91,0.42,38134,75093,CORP.PARCEL,CORP.53DV,2/7/2022 18:02,2/10/2022 23:02
326153,803.5,260,1162.0,273.93,30122,77032,CORP.LTL,CORP.53DV,7/13/2022 20:00,7/20/2022 19:00
